,date,month,ozone,site
0,NA,NA,NA,NA
0,1,July 2010,22,UH Moody Tower C695
0,2,July 2010,20,Park Place C416
0,3,July 2010,28,Northwest Harris Co. C26/A110/X154
0,4,July 2010,48,Texas City 34th St. C620 
0,5,July 2010,51,Wallisville Road C617 
0,6,July 2010,60,Danciger C618 
0,7,July 2010,25,Park Place C416
0,8,July 2010,23,Houston Texas Avenue C411
0,9,July 2010,66,Houston Aldine C8/AF108/X150 
0,10,July 2010,71,UH WG Jones Forest C698
0,11,July 2010,34,UH Coastal Center C697
0,12,July 2010,26,U of H-Sugarland C696
0,13,July 2010,29,U of H-Sugarland C696
0,14,July 2010,44,UH Moody Tower C695
0,15,July 2010,53,Park Place C416
0,16,July 2010,92,Houston East C1/G316
0,17,July 2010,68,Houston East C1/G316
0,18,July 2010,43,UH Moody Tower C695
0,19,July 2010,28,U of H-Sugarland C696
0,20,July 2010,35,Channelview C15/AH115 
0,21,July 2010,35,Channelview C15/AH115 
0,22,July 2010,30,Channelview C15/AH115 
0,23,July 2010,47,UH Coastal Center C697
0,24,July 2010,84,Mustang Bayou C619 
0,25,July 2010,66,Houston Regional Office C81
0,26,July 2010,55,Channelview C15/AH115 
0,27,July 2010,32,UH Coastal Center C697
0,28,July 2010,32,UH Coastal Center C697
0,29,July 2010,46,UH Coastal Center C697
0,30,July 2010,53,UH WG Jones Forest C698
0,31,July 2010,58,HRM-3 Haden Road C603/A114 
0,1,August 2010,69,HRM-3 Haden Road C603/A114 
0,2,August 2010,92,UH Coastal Center C697
0,3,August 2010,83,Houston East C1/G316
0,4,August 2010,76,HRM-3 Haden Road C603/A114 
0,5,August 2010,62,UH WG Jones Forest C698
0,6,August 2010,53,UH Coastal Center C697
0,7,August 2010,48,UH WG Jones Forest C698
0,8,August 2010,44,UH WG Jones Forest C698
0,9,August 2010,66,UH Coastal Center C697
0,10,August 2010,92,Texas City 34th St. C620 
0,11,August 2010,102,Texas City 34th St. C620 
0,12,August 2010,79,UH Coastal Center C697
0,13,August 2010,53,HRM-3 Haden Road C603/A114 
0,14,August 2010,37,U of H-Sugarland C696
0,15,August 2010,48,HRM-3 Haden Road C603/A114 
0,16,August 2010,50,Northwest Harris Co. C26/A110/X154
0,17,August 2010,84,Mustang Bayou C619 
0,18,August 2010,60,U of H-Sugarland C696
0,19,August 2010,35,UH WG Jones Forest C698
0,20,August 2010,36,U of H-Sugarland C696
0,21,August 2010,41,UH WG Jones Forest C698
0,22,August 2010,50,HRM-3 Haden Road C603/A114 
0,23,August 2010,69,Houston Texas Avenue C411
0,24,August 2010,75,Houston Regional Office C81
0,25,August 2010,81,Houston Regional Office C81
0,26,August 2010,76,Park Place C416
0,27,August 2010,88,Houston Regional Office C81
0,28,August 2010,68,Wallisville Road C617 
0,29,August 2010,54,Channelview C15/AH115 
0,30,August 2010,25,U of H-Sugarland C696
0,31,August 2010,31,UH Coastal Center C697
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,1,July 2011,61,UH Moody Tower C695
0,2,July 2011,58,Park Place C416
0,3,July 2011,57,Park Place C416
0,4,July 2011,62,UH Coastal Center C697
0,5,July 2011,82,Houston East C1/G316
0,6,July 2011,62,Mustang Bayou C619 
0,7,July 2011,62,U of H-Sugarland C696
0,8,July 2011,57,UH Moody Tower C695
0,9,July 2011,50,UH Moody Tower C695
0,10,July 2011,44,UH Moody Tower C695
0,11,July 2011,65,U of H-Sugarland C696
0,12,July 2011,40,UH Coastal Center C697
0,13,July 2011,49,Mustang Bayou C619 
0,14,July 2011,47,U of H-Sugarland C696
0,15,July 2011,31,Texas City 34th St. C620 
0,16,July 2011,39,Park Place C416
0,17,July 2011,55,U of H-Sugarland C696
0,18,July 2011,52,Park Place C416
0,19,July 2011,41,Houston Westhollow C410/C3003
0,20,July 2011,47,U of H-Sugarland C696
0,21,July 2011,52,U of H-Sugarland C696
0,22,July 2011,35,U of H-Sugarland C696
0,23,July 2011,41,U of H-Sugarland C696
0,24,July 2011,39,UH Coastal Center C697
0,25,July 2011,43,UH Coastal Center C697
0,26,July 2011,47,UH WG Jones Forest C698
0,27,July 2011,45,UH Coastal Center C697
0,28,July 2011,46,UH Coastal Center C697
0,29,July 2011,32,Channelview C15/AH115 
0,30,July 2011,52,U of H-Sugarland C696
0,31,July 2011,70,Monitoring_Site
0,1,August 2011,77,U of H-Sugarland C696
0,2,August 2011,73,UH Coastal Center C697
0,3,August 2011,60,UH Coastal Center C697
0,4,August 2011,56,U of H-Sugarland C696
0,5,August 2011,51,U of H-Sugarland C696
0,6,August 2011,52,UH Coastal Center C697
0,7,August 2011,36,UH Coastal Center C697
0,8,August 2011,38,U of H-Sugarland C696
0,9,August 2011,35,U of H-Sugarland C696
0,10,August 2011,45,U of H-Sugarland C696
0,11,August 2011,48,U of H-Sugarland C696
0,12,August 2011,49,Houston Bayland Park C53/A146 
0,13,August 2011,37,UH Coastal Center C697
0,14,August 2011,49,HRM-3 Haden Road C603/A114 
0,15,August 2011,60,Houston Bayland Park C53/A146 
0,16,August 2011,64,U of H-Sugarland C696
0,17,August 2011,73,UH Coastal Center C697
0,18,August 2011,75,UH Coastal Center C697
0,19,August 2011,89,HRM-3 Haden Road C603/A114 
0,20,August 2011,71,Channelview C15/AH115 
0,21,August 2011,53,UH Coastal Center C697
0,22,August 2011,81,U of H-Sugarland C696
0,23,August 2011,74,UH Moody Tower C695
0,24,August 2011,66,UH Moody Tower C695
0,25,August 2011,73,U of H-Sugarland C696
0,26,August 2011,100,Houston East C1/G316
0,27,August 2011,88,Houston Regional Office C81
0,28,August 2011,101,Lang C408
0,29,August 2011,99,Seabrook Friendship Park C45
0,30,August 2011,100,Channelview C15/AH115 
0,31,August 2011,83,Channelview C15/AH115 
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,1,August 2012,60,Wallisville Road C617 
0,2,August 2012,69,Texas City 34th St. C620 
0,3,August 2012,79,Houston Croquet C409
0,4,August 2012,70,UH Moody Tower C695
0,5,August 2012,69,Texas City 34th St. C620 
0,6,August 2012,79,Northwest Harris Co. C26/A110/X154
0,7,August 2012,86,Lang C408
0,8,August 2012,59,Houston Aldine C8/AF108/X150 
0,9,August 2012,45,Houston Texas Avenue C411
0,10,August 2012,43,Danciger C618 
0,11,August 2012,55,Danciger C618 
0,12,August 2012,58,UH Moody Tower C695
0,13,August 2012,41,Houston Westhollow C410/C3003
0,14,August 2012,41,Park Place C416
0,15,August 2012,50,Danciger C618 
0,16,August 2012,46,Wallisville Road C617 
0,17,August 2012,39,Wallisville Road C617 
0,18,August 2012,47,Houston Texas Avenue C411
0,19,August 2012,69,Danciger C618 
0,20,August 2012,89,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,21,August 2012,80,Conroe Relocated C78/A321
0,22,August 2012,68,Seabrook Friendship Park C45
0,23,August 2012,61,U of H-Sugarland C696
0,24,August 2012,51,U of H-Sugarland C696
0,25,August 2012,40,U of H-Sugarland C696
0,26,August 2012,44,Houston East C1/G316
0,27,August 2012,74,Conroe Relocated C78/A321
0,28,August 2012,70,Conroe Relocated C78/A321
0,29,August 2012,56,Conroe Relocated C78/A321
0,30,August 2012,64,U of H-Sugarland C696
0,31,August 2012,51,Houston Westhollow C410/C3003
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,1,July 2013,71,Park Place C416
0,2,July 2013,84,Conroe Relocated C78/A321
0,3,July 2013,88,Houston North Wayside C405/C1033
0,4,July 2013,86,Conroe Relocated C78/A321
0,5,July 2013,82,Seabrook Friendship Park C45
0,6,July 2013,59,Houston North Wayside C405/C1033
0,7,July 2013,39,UH Moody Tower C695
0,8,July 2013,45,Houston Bayland Park C53/A146 
0,9,July 2013,59,Houston Bayland Park C53/A146 
0,10,July 2013,55,Seabrook Friendship Park C45
0,11,July 2013,50,Houston East C1/G316
0,12,July 2013,69,Houston Texas Avenue C411
0,13,July 2013,73,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,14,July 2013,49,UH Moody Tower C695
0,15,July 2013,39,UH Moody Tower C695
0,16,July 2013,39,Danciger C618 
0,17,July 2013,29,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,18,July 2013,50,Houston North Wayside C405/C1033
0,19,July 2013,42,Texas City 34th St. C620 
0,20,July 2013,41,Houston East C1/G316
0,21,July 2013,29,Seabrook Friendship Park C45
0,22,July 2013,31,Houston Bayland Park C53/A146 
0,23,July 2013,32,Houston Texas Avenue C411
0,24,July 2013,43,Texas City 34th St. C620 
0,25,July 2013,67,Houston Texas Avenue C411
0,26,July 2013,36,Houston Bayland Park C53/A146 
0,27,July 2013,41,Park Place C416
0,28,July 2013,38,Houston Bayland Park C53/A146 
0,29,July 2013,42,Houston Bayland Park C53/A146 
0,30,July 2013,46,Houston Bayland Park C53/A146 
0,31,July 2013,47,Park Place C416
0,1,August 2013,68,Northwest Harris Co. C26/A110/X154
0,2,August 2013,64,Houston Bayland Park C53/A146 
0,3,August 2013,45,Seabrook Friendship Park C45
0,4,August 2013,38,Seabrook Friendship Park C45
0,5,August 2013,40,Seabrook Friendship Park C45
0,6,August 2013,34,Seabrook Friendship Park C45
0,7,August 2013,39,Seabrook Friendship Park C45
0,8,August 2013,53,Seabrook Friendship Park C45
0,9,August 2013,76,U of H-Sugarland C696
0,10,August 2013,52,Houston Aldine C8/AF108/X150 
0,11,August 2013,42,Seabrook Friendship Park C45
0,12,August 2013,46,Houston Bayland Park C53/A146 
0,13,August 2013,42,UH Moody Tower C695
0,14,August 2013,50,Houston Texas Avenue C411
0,15,August 2013,58,Conroe Relocated C78/A321
0,16,August 2013,94,Conroe Relocated C78/A321
0,17,August 2013,80,HRM-3 Haden Road C603/A114 
0,18,August 2013,69,HRM-3 Haden Road C603/A114 
0,19,August 2013,78,Lang C408
0,20,August 2013,51,Houston Bayland Park C53/A146 
0,21,August 2013,54,Danciger C618 
0,22,August 2013,48,Clinton C403/C304/AH113 
0,23,August 2013,65,Houston Monroe C406
0,24,August 2013,56,Houston Texas Avenue C411
0,25,August 2013,35,U of H-Sugarland C696
0,26,August 2013,28,Houston Bayland Park C53/A146 
0,27,August 2013,46,Clinton C403/C304/AH113 
0,28,August 2013,83,Channelview C15/AH115 
0,29,August 2013,78,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,30,August 2013,78,Park Place C416
0,31,August 2013,79,U of H-Sugarland C696
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,1,July 2014,48,Seabrook Friendship Park C45
0,2,July 2014,53,UH West Liberty C699
0,3,July 2014,56,Seabrook Friendship Park C45
0,4,July 2014,65,Houston Monroe C406
0,5,July 2014,55,Houston East C1/G316
0,6,July 2014,59,Houston Bayland Park C53/A146 
0,7,July 2014,56,HRM-3 Haden Road C603/A114 
0,8,July 2014,44,U of H-Sugarland C696
0,9,July 2014,55,Houston Bayland Park C53/A146 
0,10,July 2014,53,UH Coastal Center C697
0,11,July 2014,65,Houston Bayland Park C53/A146 
0,12,July 2014,66,Houston East C1/G316
0,13,July 2014,67,Lynchburg Ferry C1015/A165 
0,14,July 2014,54,Lynchburg Ferry C1015/A165 
0,15,July 2014,44,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,16,July 2014,61,UH West Liberty C699
0,17,July 2014,49,Texas City 34th St. C620 
0,18,July 2014,63,U of H-Sugarland C696
0,19,July 2014,57,Houston Monroe C406
0,20,July 2014,69,Mustang Bayou C619 
0,21,July 2014,58,Houston Bayland Park C53/A146 
0,22,July 2014,58,Lynchburg Ferry C1015/A165 
0,23,July 2014,65,Monitoring_Site
0,24,July 2014,75,Monitoring_Site
0,25,July 2014,66,UH West Liberty C699
0,26,July 2014,48,Wallisville Road C617 
0,27,July 2014,45,Wallisville Road C617 
0,28,July 2014,54,Monitoring_Site
0,29,July 2014,47,UH WG Jones Forest C698
0,30,July 2014,72,Houston Bayland Park C53/A146 
0,31,July 2014,53,UH Moody Tower C695
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,1,July 2015,29,Houston Bayland Park C53/A146 
0,2,July 2015,41,Houston Bayland Park C53/A146 
0,3,July 2015,37,UH Coastal Center C697
0,4,July 2015,30,UH Coastal Center C697
0,5,July 2015,29,Houston Bayland Park C53/A146 
0,6,July 2015,37,Houston Bayland Park C53/A146 
0,7,July 2015,33,Houston Bayland Park C53/A146 
0,8,July 2015,38,Houston Bayland Park C53/A146 
0,9,July 2015,47,Houston Bayland Park C53/A146 
0,10,July 2015,61,Houston Bayland Park C53/A146 
0,11,July 2015,47,Houston Bayland Park C53/A146 
0,12,July 2015,45,U of H-Sugarland C696
0,13,July 2015,51,UH Moody Tower C695
0,14,July 2015,48,Houston Bayland Park C53/A146 
0,15,July 2015,63,Houston Bayland Park C53/A146 
0,16,July 2015,56,Houston Bayland Park C53/A146 
0,17,July 2015,42,Houston Bayland Park C53/A146 
0,18,July 2015,42,Houston Bayland Park C53/A146 
0,19,July 2015,47,UH Moody Tower C695
0,20,July 2015,49,UH Moody Tower C695
0,21,July 2015,39,Houston East C1/G316
0,22,July 2015,39,Seabrook Friendship Park C45
0,23,July 2015,47,UH Moody Tower C695
0,24,July 2015,54,Houston Bayland Park C53/A146 
0,25,July 2015,48,Houston East C1/G316
0,26,July 2015,48,UH West Liberty C699
0,27,July 2015,59,Houston Bayland Park C53/A146 
0,28,July 2015,65,Houston Bayland Park C53/A146 
0,29,July 2015,69,Northwest Harris Co. C26/A110/X154
0,30,July 2015,71,Conroe Relocated C78/A321
0,31,July 2015,75,Danciger C618 
0,1,August 2015,71,Conroe Relocated C78/A321
0,2,August 2015,87,Houston Bayland Park C53/A146 
0,3,August 2015,101,Monitoring_Site
0,4,August 2015,43,UH Coastal Center C697
0,5,August 2015,42,Houston Bayland Park C53/A146 
0,6,August 2015,42,Houston East C1/G316
0,7,August 2015,53,Houston Bayland Park C53/A146 
0,8,August 2015,45,Houston East C1/G316
0,9,August 2015,58,Houston East C1/G316
0,10,August 2015,87,Mustang Bayou C619 
0,11,August 2015,87,Wallisville Road C617 
0,12,August 2015,106,Wallisville Road C617 
0,13,August 2015,95,Houston East C1/G316
0,14,August 2015,74,Mustang Bayou C619 
0,15,August 2015,71,Houston Texas Avenue C411
0,16,August 2015,71,Houston Texas Avenue C411
0,17,August 2015,86,Houston East C1/G316
0,18,August 2015,42,Houston Bayland Park C53/A146 
0,19,August 2015,33,Houston Bayland Park C53/A146 
0,20,August 2015,36,HRM-3 Haden Road C603/A114 
0,21,August 2015,52,Houston Texas Avenue C411
0,22,August 2015,32,Houston Bayland Park C53/A146 
0,23,August 2015,42,Houston East C1/G316
0,24,August 2015,79,Mustang Bayou C619 
0,25,August 2015,52,HRM-3 Haden Road C603/A114 
0,26,August 2015,79,Wallisville Road C617 
0,27,August 2015,86,Conroe Relocated C78/A321
0,28,August 2015,102,Mustang Bayou C619 
0,29,August 2015,105,Houston East C1/G316
0,30,August 2015,80,Houston East C1/G316
0,31,August 2015,47,Texas City 34th St. C620 
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,1,July 2017,36,Houston Bayland Park C53/A146 
0,2,July 2017,40,Houston Bayland Park C53/A146 
0,3,July 2017,39,Houston Bayland Park C53/A146 
0,4,July 2017,37,Houston Bayland Park C53/A146 
0,5,July 2017,43,Mustang Bayou C619 
0,6,July 2017,54,Channelview C15/AH115 
0,7,July 2017,50,Houston East C1/G316
0,8,July 2017,44,Houston East C1/G316
0,9,July 2017,41,UH Coastal Center C697
0,10,July 2017,42,Northwest Harris Co. C26/A110/X154
0,11,July 2017,36,Seabrook Friendship Park C45
0,12,July 2017,38,Mustang Bayou C619 
0,13,July 2017,46,Mustang Bayou C619 
0,14,July 2017,59,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,15,July 2017,41,UH Coastal Center C697
0,16,July 2017,60,Seabrook Friendship Park C45
0,17,July 2017,55,Channelview C15/AH115 
0,18,July 2017,58,Mustang Bayou C619 
0,19,July 2017,56,Texas City 34th St. C620 
0,20,July 2017,57,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,21,July 2017,48,Houston Bayland Park C53/A146 
0,22,July 2017,35,Houston Bayland Park C53/A146 
0,23,July 2017,31,Houston Bayland Park C53/A146 
0,24,July 2017,35,Houston East C1/G316
0,25,July 2017,47,Houston Bayland Park C53/A146 
0,26,July 2017,50,Houston Bayland Park C53/A146 
0,27,July 2017,57,Houston Bayland Park C53/A146 
0,28,July 2017,47,Houston East C1/G316
0,29,July 2017,49,Houston East C1/G316
0,30,July 2017,52,Conroe Relocated C78/A321
0,31,July 2017,71,Houston Texas Avenue C411
0,1,August 2017,66,HRM-3 Haden Road C603/A114 
0,2,August 2017,44,Park Place C416
0,3,August 2017,67,Wallisville Road C617 
0,4,August 2017,78,Northwest Harris Co. C26/A110/X154
0,5,August 2017,44,Seabrook Friendship Park C45
0,6,August 2017,23,Seabrook Friendship Park C45
0,7,August 2017,34,Houston Texas Avenue C411
0,8,August 2017,42,Houston Aldine C8/AF108/X150 
0,9,August 2017,59,Houston Westhollow C410/C3003
0,10,August 2017,41,Houston East C1/G316
0,11,August 2017,39,Texas City 34th St. C620 
0,12,August 2017,40,Houston East C1/G316
0,13,August 2017,30,Houston Bayland Park C53/A146 
0,14,August 2017,39,Houston Bayland Park C53/A146 
0,15,August 2017,31,Houston Bayland Park C53/A146 
0,16,August 2017,36,Houston Bayland Park C53/A146 
0,17,August 2017,37,Houston Bayland Park C53/A146 
0,18,August 2017,45,Houston East C1/G316
0,19,August 2017,51,UH Coastal Center C697
0,20,August 2017,46,Houston East C1/G316
0,21,August 2017,63,Channelview C15/AH115 
0,22,August 2017,65,Conroe Relocated C78/A321
0,23,August 2017,56,Houston Texas Avenue C411
0,24,August 2017,56,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,25,August 2017,29,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,26,August 2017,32,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,27,August 2017,32,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,28,August 2017,34,Monitoring_Site
0,29,August 2017,35,Monitoring_Site
0,30,August 2017,46,Houston Bayland Park C53/A146 
0,31,August 2017,57,Northwest Harris Co. C26/A110/X154
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,1,July 2018,39,Houston Bayland Park C53/A146 
0,2,July 2018,56,Houston Bayland Park C53/A146 
0,3,July 2018,50,U of H-Sugarland C696
0,4,July 2018,32,UH Coastal Center C697
0,5,July 2018,48,Houston North Wayside C405/C1033
0,6,July 2018,59,Houston Monroe C406
0,7,July 2018,53,Lang C408
0,8,July 2018,43,Houston Bayland Park C53/A146 
0,9,July 2018,32,UH Coastal Center C697
0,10,July 2018,65,Wallisville Road C617 
0,11,July 2018,58,Texas City 34th St. C620 
0,12,July 2018,50,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,13,July 2018,50,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,14,July 2018,39,Houston Bayland Park C53/A146 
0,15,July 2018,31,Mustang Bayou C619 
0,16,July 2018,46,Houston East C1/G316
0,17,July 2018,50,U of H-Sugarland C696
0,18,July 2018,51,UH Moody Tower C695
0,19,July 2018,51,UH Moody Tower C695
0,20,July 2018,56,Houston East C1/G316
0,21,July 2018,49,U of H-Sugarland C696
0,22,July 2018,52,Houston Westhollow C410/C3003
0,23,July 2018,81,Houston Westhollow C410/C3003
0,24,July 2018,73,Manvel Croix Park C84
0,25,July 2018,72,Lang C408
0,26,July 2018,107,UH Coastal Center C697
0,27,July 2018,109,Houston East C1/G316
0,28,July 2018,86,Houston East C1/G316
0,29,July 2018,71,Houston Westhollow C410/C3003
0,30,July 2018,64,Houston Westhollow C410/C3003
0,31,July 2018,49,Seabrook Friendship Park C45
0,1,August 2018,96,Park Place C416
0,2,August 2018,78,Conroe Relocated C78/A321
0,3,August 2018,76,Houston Monroe C406
0,4,August 2018,42,Houston Bayland Park C53/A146 
0,5,August 2018,58,Channelview C15/AH115 
0,6,August 2018,45,Houston Bayland Park C53/A146 
0,7,August 2018,39,Houston Bayland Park C53/A146 
0,8,August 2018,41,Danciger C618 
0,9,August 2018,33,Houston Bayland Park C53/A146 
0,10,August 2018,43,Houston Westhollow C410/C3003
0,11,August 2018,30,Houston Bayland Park C53/A146 
0,12,August 2018,23,Houston Bayland Park C53/A146 
0,13,August 2018,45,Houston Bayland Park C53/A146 
0,14,August 2018,46,Houston Bayland Park C53/A146 
0,15,August 2018,45,Houston Bayland Park C53/A146 
0,16,August 2018,40,Seabrook Friendship Park C45
0,17,August 2018,43,Seabrook Friendship Park C45
0,18,August 2018,38,Houston Westhollow C410/C3003
0,19,August 2018,33,Seabrook Friendship Park C45
0,20,August 2018,36,Houston Croquet C409
0,21,August 2018,50,Lang C408
0,22,August 2018,74,Houston Croquet C409
0,23,August 2018,100,Houston Texas Avenue C411
0,24,August 2018,91,Houston East C1/G316
0,25,August 2018,77,Channelview C15/AH115 
0,26,August 2018,55,Houston East C1/G316
0,27,August 2018,48,Seabrook Friendship Park C45
0,28,August 2018,40,Seabrook Friendship Park C45
0,29,August 2018,40,Seabrook Friendship Park C45
0,30,August 2018,55,Channelview C15/AH115 
0,31,August 2018,65,Houston Monroe C406
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,1,July 2019,57,Wallisville Road C617 
0,2,July 2019,40,Wallisville Road C617 
0,3,July 2019,43,Seabrook Friendship Park C45
0,4,July 2019,31,Houston Bayland Park C53/A146 
0,5,July 2019,47,Houston Bayland Park C53/A146 
0,6,July 2019,61,Houston Aldine C8/AF108/X150 
0,7,July 2019,52,UH Moody Tower C695
0,8,July 2019,39,Houston Bayland Park C53/A146 
0,9,July 2019,49,Danciger C618 
0,10,July 2019,66,Houston East C1/G316
0,11,July 2019,66,U of H-Sugarland C696
0,12,July 2019,60,Mustang Bayou C619 
0,13,July 2019,46,HRM-3 Haden Road C603/A114 
0,14,July 2019,41,Houston Aldine C8/AF108/X150 
0,15,July 2019,31,Danciger C618 
0,16,July 2019,35,Houston Bayland Park C53/A146 
0,17,July 2019,38,Wallisville Road C617 
0,18,July 2019,43,Houston Bayland Park C53/A146 
0,19,July 2019,44,Houston Bayland Park C53/A146 
0,20,July 2019,43,Houston Bayland Park C53/A146 
0,21,July 2019,33,Houston East C1/G316
0,22,July 2019,36,Houston East C1/G316
0,23,July 2019,47,UH Moody Tower C695
0,24,July 2019,66,Park Place C416
0,25,July 2019,79,Houston Bayland Park C53/A146 
0,26,July 2019,76,Houston Monroe C406
0,27,July 2019,64,Lang C408
0,28,July 2019,29,Houston Bayland Park C53/A146 
0,29,July 2019,30,Mustang Bayou C619 
0,30,July 2019,36,Houston Croquet C409
0,31,July 2019,56,Houston North Wayside C405/C1033
0,1,August 2019,73,Seabrook Friendship Park C45
0,2,August 2019,70,Houston Croquet C409
0,3,August 2019,64,Northwest Harris Co. C26/A110/X154
0,4,August 2019,50,Houston East C1/G316
0,5,August 2019,60,Houston East C1/G316
0,6,August 2019,47,Houston Bayland Park C53/A146 
0,7,August 2019,39,Houston Bayland Park C53/A146 
0,8,August 2019,38,Houston East C1/G316
0,9,August 2019,44,Houston Bayland Park C53/A146 
0,10,August 2019,39,Houston Bayland Park C53/A146 
0,11,August 2019,39,HRM-3 Haden Road C603/A114 
0,12,August 2019,47,Houston Bayland Park C53/A146 
0,13,August 2019,51,Houston East C1/G316
0,14,August 2019,59,Northwest Harris Co. C26/A110/X154
0,15,August 2019,107,Northwest Harris Co. C26/A110/X154
0,16,August 2019,68,Monitoring_Site
0,17,August 2019,34,Seabrook Friendship Park C45
0,18,August 2019,29,Seabrook Friendship Park C45
0,19,August 2019,45,Seabrook Friendship Park C45
0,20,August 2019,35,Hou.DeerPrk2 C35/235/1001/AFH139FP239
0,21,August 2019,41,Danciger C618 
0,22,August 2019,50,Channelview C15/AH115 
0,23,August 2019,33,Danciger C618 
0,24,August 2019,49,Seabrook Friendship Park C45
0,25,August 2019,32,Houston Texas Avenue C411
0,26,August 2019,37,Seabrook Friendship Park C45
0,27,August 2019,48,Houston Bayland Park C53/A146 
0,28,August 2019,54,Wallisville Road C617 
0,29,August 2019,70,Channelview C15/AH115 
0,30,August 2019,54,Channelview C15/AH115 
0,31,August 2019,76,Seabrook Friendship Park C45
0,NA,NA,NA,NA
0,NA,NA,NA,NA
0,NA,NA,NA,NA
