,0
0,['June 2010']
1,"['Area', 'Monitoring_Site', 'POC', 'Flag', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30']"
2,[]
3,['Houston-Galveston-Brazoria']
4,"['', 'Houston East C1/G316', '2', 'Reg', '49', '35', '30', '42', '41', '33', '22', '29', '22', '19', '15', '15', '17', '23', '28', '34', '23', '26', '28', '37', '46', '51', '34', '54', '30', '36', '31', '29', '30', '13']"
5,"['', 'Houston Aldine C8/AF108/X150 ', '2', 'Reg', '65', '40', '35', '49', '52', '47', '32', '37', '27', '23', '17', '18', '22', '27', '38', '42', '28', '33', '41', '50', '63', '61', 'NV', '50', '43', '46', '44', '37', 'NV', '21']"
6,"['', 'Channelview C15/AH115 ', '3', 'Reg', '46', '36', '35', '46', '41', '38', '27', '28', '22', 'NV', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']"
7,"['', 'Northwest Harris Co. C26/A110/X154', '2', 'Reg', '61', '40', '39', '52', '48', '45', '36', '35', '30', '27', '24', '22', '24', '28', '33', '40', '27', '29', '39', '39', '59', '61', '47', '31', '42', '44', '42', '35', '36', '23']"
8,"['', 'Hou.DeerPrk2 C35/235/1001/AFH139FP239', '1', 'Reg', '46', '38', '41', '54', '41', '41', '33', '39', '23', '20', '16', '16', '18', '23', '31', '32', '22', '27', '28', '32', '41', '52', '41', '46', '36', '37', '33', '33', '35', '22']"
9,"['', 'Seabrook Friendship Park C45', '1', 'Reg', '40', '36', '44', '59', '38', '36', '35', '32', '21', '19', '15', '16', '19', '20', '29', '29', '19', '22', '23', '29', '36', '48', '38', '30', '38', '34', '31', '29', '31', '22']"
10,"['', 'Houston Bayland Park C53/A146 ', '1', 'Reg', '43', '34', '37', '53', '43', '32', '28', '32', '22', '22', '16', '15', '18', '20', '24', '34', '20', '21', '28', '26', '34', '39', '34', '35', '30', '31', '31', '28', '40', '19']"
11,"['', 'Conroe Relocated C78/A321', '1', 'Reg', '68', '43', '36', '42', '54', '47', '28', '28', '22', '32', '30', '28', '28', '38', '43', '49', '36', '41', '47', '45', '66', '60', '46', '33', '49', '42', '50', '25', '27', '20']"
12,"['', 'Houston Regional Office C81', '1', 'Reg', '40', '31', '31', '46', '39', '29', '19', '25', '19', '16', '12', '13', '17', '19', '26', '29', '19', '20', '25', '28', '34', '38', '28', '31', '26', '34', '28', 'NV', '29', '14']"
13,"['', 'Manvel Croix Park C84', '1', 'Reg', '41', '33', '39', '56', '40', '31', '30', '32', '24', '19', '15', '16', '18', '22', '32', '32', '23', '23', '25', '24', '31', '38', '33', '29', '31', '31', '30', '25', '33', '23']"
14,"['', 'Clinton C403/C304/AH113 ', '3', 'Reg', '44', '31', '29', '49', '40', '33', '25', '34', '21', '18', '13', '14', '18', '20', '28', '28', '21', '22', '25', '31', '38', '43', '33', '40', '31', '36', '30', '26', '34', '19']"
15,"['', 'Houston North Wayside C405/C1033', '1', 'Reg', '48', '31', '26', '43', '40', '35', '23', '29', '21', '18', '14', '15', '18', '21', '25', '32', '21', '23', '30', '37', '45', '45', '28', '45', '30', '36', '32', '29', '29', '17']"
16,"['', 'Houston Monroe C406', '1', 'Reg', '36', '31', '34', '45', '35', '29', '27', '30', '21', '20', '14', '14', '16', '20', '26', '27', '21', '21', '22', '23', '28', '38', '33', '28', '29', '31', '25', '24', '32', '20']"
17,"['', 'Lang C408', '2', 'Reg', '46', '36', '36', '46', '46', '39', '21', '25', '22', '21', '17', '17', '19', '22', '29', '38', '22', '25', '32', '30', '44', '46', '33', 'NV', 'NV', '34', '33', '35', '31', '17']"
18,"['', 'Houston Croquet C409', '2', 'Reg', '41', '33', '37', '54', '42', '31', '28', 'NV', '23', '22', '16', '15', '18', '20', '26', '33', '20', '21', '28', '24', '30', '38', '34', '32', '32', '31', '31', '25', '41', '20']"
19,"['', 'Houston Westhollow C410/C3003', '1', 'Reg', '41', '33', '39', '53', '44', '34', '28', '32', '21', '19', '16', '17', '18', '21', '24', '33', '20', '21', '24', '26', '32', '39', '28', '33', '28', '31', '29', '28', '40', '20']"
20,"['', 'Houston Texas Avenue C411', '1', 'Reg', '40', '29', '28', '41', '39', '32', '21', '26', '21', '18', '14', '14', '17', '20', '26', '29', '20', '20', '24', '27', '35', '40', '30', '30', '29', '35', '29', '29', '35', '18']"
21,"['', 'Park Place C416', '1', 'Reg', '45', '35', '35', '50', 'NV', 'NA', 'NA', 'NV', '24', '21', '16', '16', '19', '23', '30', '32', '23', '24', '26', '28', '35', '45', '37', '33', '32', '38', '31', '28', '35', '19']"
22,"['', 'Sheldon C551', '1', 'Non', '55', '37', '37', '48', '46', '43', 'NV', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NV', '38', '42', '28', '30', '19']"
23,"['', 'Baytown Wetlands Center C552', '1', 'Non', '43', '37', '43', '51', '39', '36', '32', '28', '23', '20', '16', '17', '21', '21', '33', '31', '21', '24', '30', '33', '40', '45', '38', '32', '36', '33', '33', '27', '35', '21']"
24,"['', 'Crosby Library C553', '1', 'Non', '69', '52', '49', '50', '56', '49', 'NV', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NV', '46', '28', '38', '47', '47', '60', '56', '39', '52', '40', '37', '41', '28', '32', '20']"
25,"['', 'West Houston C554', '1', 'Non', '48', '33', '39', '52', '44', '40', '26', '33', '24', '23', '19', '19', '21', '24', '28', '39', '24', '25', '32', '28', '43', '47', '35', '37', '33', '35', '34', '32', '41', '22']"
26,"['', 'Mercer Arboretum C557', '1', 'Non', '73', '45', '38', '46', '58', '53', '31', '35', '29', '28', '23', '24', 'NV', '36', '45', '52', '34', '42', '50', '57', '71', '69', '50', '54', '47', '49', '51', '23', '32', '22']"
27,"['', 'Tom Bass C558', '1', 'Non', '37', '33', '37', '52', '38', '29', '26', '29', '21', '17', '14', '15', '18', '20', '29', '30', '21', '21', '23', '24', '30', '38', '33', '29', '30', '30', '27', '27', '35', '20']"
28,"['', 'Katy Park C559', '1', 'Non', '43', '32', '36', '52', '40', '32', '27', '32', '23', '19', '14', '15', '17', '19', '23', '30', '18', '19', '22', '26', '39', '39', '34', '29', '33', '31', '33', '25', '41', '22']"
29,"['', 'Atascocita C560', '1', 'Non', '66', '43', '39', '46', '52', '45', '27', '33', '26', '23', '19', '21', '23', '29', 'NV', 'NV', '31', '37', '43', '53', '70', '69', '44', '69', '41', '42', '48', '33', '31', 'NV']"
30,"['', 'Meyer Park C561', '1', 'Non', '62', '37', '39', '48', '52', '47', '35', '34', '30', '26', '23', '21', '23', '31', '36', '46', '31', '35', '42', '43', '60', '61', '46', '42', '44', '48', '42', '37', '34', '22']"
31,"['', 'Bunker Hill Village C562', '1', 'Non', '47', '36', '35', '51', '47', '38', '23', '27', '22', '22', '17', '16', '19', '23', '26', '35', '22', '23', '29', '30', '38', '44', '32', '35', '25', '30', '31', '30', '37', '17']"
32,"['', 'Clear Brook High School C570', '1', 'Non', '37', '32', '39', '53', '37', '28', '30', '31', '22', '19', '14', '15', '17', '20', '29', '25', '20', '22', '21', '25', '30', '44', '34', '30', '32', '32', '27', '25', '29', '20']"
33,"['', 'Clear Creek High School C571', '1', 'Non', '36', '33', '42', '57', '34', '29', '32', '31', '18', '17', '15', '15', '17', '19', '29', '28', '19', '21', '21', '29', '29', '48', '35', '33', '37', '34', '29', '32', '29', '22']"
34,"['', 'Clear Lake High School C572', '1', 'Non', '41', '36', '42', '56', '39', '36', '33', '33', '21', '18', '15', '15', '17', '20', '29', '29', '20', '23', '23', '29', '31', '48', '37', '33', '36', '34', '31', '31', '32', '22']"
35,"['', 'HRM-3 Haden Road C603/A114 ', '1', 'Non', '47', '33', '32', '46', '36', '29', 'NV', 'NA', 'NA', 'NA', 'NV', '13', '16', '21', '28', '33', '21', '25', '28', '35', '43', '50', '32', '55', '30', '33', '31', '23', '33', '17']"
36,"['', 'Wallisville Road C617 ', '1', 'Non', '55', '42', '47', '48', '47', '42', '31', '34', '28', '25', '20', '19', '24', '29', '37', '39', '24', '33', '38', '43', '48', '49', '39', '60', '41', '35', '34', '32', '37', '22']"
37,"['', 'Danciger C618 ', '1', 'Non', '34', '31', '43', '51', '37', '25', '29', '38', '23', '20', '18', '17', '19', '20', '26', '28', '21', '20', '22', '21', '24', '31', '29', '26', '27', '30', '29', '27', '31', '26']"
38,"['', 'Mustang Bayou C619 ', '1', 'Non', '33', '35', '43', '50', '37', '28', '29', '29', '21', '19', '17', '15', '19', '21', '30', '28', '21', '22', '20', '20', '24', '35', '30', '26', '27', '25', '25', '24', '24', '20']"
39,"['', 'Texas City 34th St. C620 ', '1', 'Non', '32', '33', '44', '57', '33', '27', '29', '27', '18', '16', '13', '13', '17', '20', '28', '25', '19', '18', '17', '19', '28', '45', '33', '28', '30', '28', '27', '28', '25', '20']"
40,"['', 'UH Moody Tower C695', '1', 'Non', '49', '40', '43', '58', '49', '42', '32', '36', '31', '27', '21', '20', '24', '28', '36', '39', '28', '29', '31', '34', '43', '51', '44', '40', '38', '44', '35', '41', '42', '24']"
41,"['', 'U of H-Sugarland C696', '1', 'Non', 'NA', 'NA', 'NV', '50', '40', '30', '34', '35', '20', '18', '15', '16', '18', '20', '24', '29', '19', 'NV', '22', '25', '34', '35', '30', '29', '29', '30', '29', '26', '44', '22']"
42,"['', 'UH Coastal Center C697', '1', 'Non', '33', '38', '43', '56', '36', '29', '32', '29', '21', '19', '16', '16', '18', '18', '30', '27', '19', '20', '17', '19', '28', '43', '37', '32', '30', '28', '27', '29', '26', '22']"
43,"['', 'UH WG Jones Forest C698', '1', 'Non', '82', '48', '39', '53', '63', '60', '35', '36', '32', '36', '33', '33', '31', '43', 'NV', 'NV', '41', '47', '58', '58', '80', '80', '60', '42', '62', '54', '60', '35', '36', '25']"
44,"['', 'UH West Liberty C699', '1', 'Non', '47', '41', '38', '33', '44', '41', '21', '28', '26', '21', '18', '17', '22', '29', '34', '39', '25', '35', '41', '38', '49', '43', '33', '38', '37', '32', '31', '27', '28', '19']"
45,"['', 'Lynchburg Ferry C1015/A165 ', '1', 'Reg', '46', '41', '39', '48', '40', '38', '32', '35', '25', '20', '18', '16', '20', '21', '30', '32', '23', '26', '29', '36', '49', '48', '42', '52', '42', '34', '37', '29', '37', '23']"
46,"['', 'Lake Jackson C1016 ', '1', 'Reg', '30', '28', '43', '45', '33', '24', '27', '32', '18', '16', '15', '15', '16', '17', '26', '25', '16', '17', '17', '17', '20', '31', '24', '25', '26', '26', '25', '21', '24', '18']"
47,"['', 'Galveston 99th St. C1034/A320/X183', '1', 'Reg', '34', '38', '40', '55', '40', '28', 'NV', '27', '19', '17', '15', '15', '17', '23', '28', '25', '18', '16', '18', '18', '29', '39', '34', '15', '22', '25', '23', '24', '18', 'NA']"
48,[]
