date,maximum,site,cluster,year,month,day
2010-06-01,82,UH WG Jones Forest C698,11,2010,6,1
2010-06-02,52,Crosby Library C553,3,2010,6,2
2010-06-03,49,Crosby Library C553,3,2010,6,3
2010-06-04,59,Seabrook Friendship Park C45,3,2010,6,4
2010-06-05,63,UH WG Jones Forest C698,7,2010,6,5
2010-06-06,60,UH WG Jones Forest C698,15,2010,6,6
2010-06-07,36,Northwest Harris Co. C26/A110/X154,13,2010,6,7
2010-06-08,39,Hou.DeerPrk2 C35/235/1001/AFH139FP239,0,2010,6,8
2010-06-09,32,UH WG Jones Forest C698,0,2010,6,9
2010-06-10,36,UH WG Jones Forest C698,0,2010,6,10
2010-06-11,33,UH WG Jones Forest C698,2,2010,6,11
2010-06-12,33,UH WG Jones Forest C698,0,2010,6,12
2010-06-13,31,UH WG Jones Forest C698,0,2010,6,13
2010-06-14,43,UH WG Jones Forest C698,0,2010,6,14
2010-06-15,45,Mercer Arboretum C557,2,2010,6,15
2010-06-16,52,Mercer Arboretum C557,0,2010,6,16
2010-06-17,41,UH WG Jones Forest C698,0,2010,6,17
2010-06-18,47,UH WG Jones Forest C698,0,2010,6,18
2010-06-19,58,UH WG Jones Forest C698,8,2010,6,19
2010-06-20,58,UH WG Jones Forest C698,12,2010,6,20
2010-06-21,80,UH WG Jones Forest C698,8,2010,6,21
2010-06-22,80,UH WG Jones Forest C698,8,2010,6,22
2010-06-23,60,UH WG Jones Forest C698,12,2010,6,23
2010-06-24,69,Atascocita C560,12,2010,6,24
2010-06-25,62,UH WG Jones Forest C698,12,2010,6,25
2010-06-26,54,UH WG Jones Forest C698,8,2010,6,26
2010-06-27,60,UH WG Jones Forest C698,6,2010,6,27
2010-06-28,41,UH Moody Tower C695,7,2010,6,28
2010-06-29,44,U of H-Sugarland C696,7,2010,6,29
2010-06-30,30,Monitoring_Site,6,2010,6,30
2010-07-01,22,UH WG Jones Forest C698,6,2010,7,1
2010-07-02,20,Mustang Bayou C619,5,2010,7,2
2010-07-03,28,Seabrook Friendship Park C45,1,2010,7,3
2010-07-04,48,UH WG Jones Forest C698,2,2010,7,4
2010-07-05,51,UH Moody Tower C695,2,2010,7,5
2010-07-06,60,U of H-Sugarland C696,3,2010,7,6
2010-07-07,25,Mustang Bayou C619,3,2010,7,7
2010-07-08,23,Mustang Bayou C619,1,2010,7,8
2010-07-09,66,Northwest Harris Co. C26/A110/X154,5,2010,7,9
2010-07-10,73,Crosby Library C553,9,2010,7,10
2010-07-11,36,Crosby Library C553,4,2010,7,11
2010-07-12,27,Mercer Arboretum C557,6,2010,7,12
2010-07-13,29,UH WG Jones Forest C698,2,2010,7,13
2010-07-14,44,UH WG Jones Forest C698,0,2010,7,14
2010-07-15,53,Wallisville Road C617,12,2010,7,15
2010-07-16,92,Houston Aldine C8/AF108/X150,12,2010,7,16
2010-07-17,73,Atascocita C560,12,2010,7,17
2010-07-18,43,Sheldon C551,12,2010,7,18
2010-07-19,28,UH WG Jones Forest C698,12,2010,7,19
2010-07-20,35,Northwest Harris Co. C26/A110/X154,4,2010,7,20
2010-07-21,36,West Houston C554,8,2010,7,21
2010-07-22,30,Northwest Harris Co. C26/A110/X154,4,2010,7,22
2010-07-23,47,UH WG Jones Forest C698,4,2010,7,23
2010-07-24,84,UH Moody Tower C695,4,2010,7,24
2010-07-25,66,Manvel Croix Park C84,8,2010,7,25
2010-07-26,55,Northwest Harris Co. C26/A110/X154,4,2010,7,26
2010-07-27,32,Atascocita C560,1,2010,7,27
2010-07-28,32,UH WG Jones Forest C698,4,2010,7,28
2010-07-29,46,UH WG Jones Forest C698,12,2010,7,29
2010-07-30,53,UH West Liberty C699,12,2010,7,30
2010-07-31,62,Baytown Wetlands Center C552,13,2010,7,31
2010-08-01,78,Baytown Wetlands Center C552,15,2010,8,1
2010-08-02,92,UH WG Jones Forest C698,9,2010,8,2
2010-08-03,83,Houston Aldine C8/AF108/X150,12,2010,8,3
2010-08-04,77,Crosby Library C553,12,2010,8,4
2010-08-05,62,UH West Liberty C699,12,2010,8,5
2010-08-06,53,UH WG Jones Forest C698,15,2010,8,6
2010-08-07,48,UH West Liberty C699,14,2010,8,7
2010-08-08,44,UH West Liberty C699,10,2010,8,8
2010-08-09,66,UH WG Jones Forest C698,1,2010,8,9
2010-08-10,92,UH Moody Tower C695,4,2010,8,10
2010-08-11,102,UH Moody Tower C695,9,2010,8,11
2010-08-12,79,UH WG Jones Forest C698,14,2010,8,12
2010-08-13,53,Wallisville Road C617,6,2010,8,13
2010-08-14,37,UH WG Jones Forest C698,2,2010,8,14
2010-08-15,48,Wallisville Road C617,4,2010,8,15
2010-08-16,50,Seabrook Friendship Park C45,8,2010,8,16
2010-08-17,84,UH Moody Tower C695,13,2010,8,17
2010-08-18,60,UH West Liberty C699,14,2010,8,18
2010-08-19,35,UH West Liberty C699,13,2010,8,19
2010-08-20,36,UH WG Jones Forest C698,1,2010,8,20
2010-08-21,47,Crosby Library C553,2,2010,8,21
2010-08-22,50,Wallisville Road C617,8,2010,8,22
2010-08-23,69,Wallisville Road C617,12,2010,8,23
2010-08-24,75,Manvel Croix Park C84,14,2010,8,24
2010-08-25,81,Manvel Croix Park C84,14,2010,8,25
2010-08-26,76,Danciger C618,13,2010,8,26
2010-08-27,88,Manvel Croix Park C84,13,2010,8,27
2010-08-28,68,Danciger C618,6,2010,8,28
2010-08-29,54,Northwest Harris Co. C26/A110/X154,2,2010,8,29
2010-08-30,30,Monitoring_Site,1,2010,8,30
2010-08-31,31,Monitoring_Site,0,2010,8,31
2010-09-01,53,Northwest Harris Co. C26/A110/X154,9,2010,9,1
2010-09-02,59,UH WG Jones Forest C698,6,2010,9,2
2010-09-03,52,Mustang Bayou C619,11,2010,9,3
2010-09-04,69,Clear Creek High School C571,15,2010,9,4
2010-09-05,76,West Houston C554,11,2010,9,5
2010-09-06,26,La Porte Sylvan Beach C556,3,2010,9,6
2010-09-07,21,Mustang Bayou C619,2,2010,9,7
2010-09-08,27,UH WG Jones Forest C698,1,2010,9,8
2010-09-09,36,UH West Liberty C699,2,2010,9,9
2010-09-10,36,UH West Liberty C699,3,2010,9,10
2010-09-11,41,UH West Liberty C699,6,2010,9,11
2010-09-12,57,UH Moody Tower C695,15,2010,9,12
2010-09-13,80,UH Moody Tower C695,12,2010,9,13
2010-09-14,96,UH WG Jones Forest C698,13,2010,9,14
2010-09-15,94,Northwest Harris Co. C26/A110/X154,14,2010,9,15
2010-09-16,67,West Houston C554,10,2010,9,16
2010-09-17,54,UH West Liberty C699,10,2010,9,17
2010-09-18,46,UH West Liberty C699,5,2010,9,18
2010-09-19,46,UH West Liberty C699,5,2010,9,19
2010-09-20,43,UH WG Jones Forest C698,5,2010,9,20
2010-09-21,46,Northwest Harris Co. C26/A110/X154,3,2010,9,21
2010-09-22,46,UH WG Jones Forest C698,3,2010,9,22
2010-09-23,49,UH WG Jones Forest C698,3,2010,9,23
2010-09-24,43,Northwest Harris Co. C26/A110/X154,2,2010,9,24
2010-09-25,65,U of H-Sugarland C696,9,2010,9,25
2010-09-26,56,Mustang Bayou C619,11,2010,9,26
2010-09-27,60,Mustang Bayou C619,7,2010,9,27
2010-09-28,85,Clear Creek High School C571,7,2010,9,28
2010-09-29,88,Mustang Bayou C619,7,2010,9,29
2010-09-30,88,Manvel Croix Park C84,7,2010,9,30
2011-06-01,78,Northwest Harris Co. C26/A110/X154,12,2011,6,1
2011-06-02,97,UH WG Jones Forest C698,12,2011,6,2
2011-06-03,79,Northwest Harris Co. C26/A110/X154,0,2011,6,3
2011-06-04,74,West Houston C554,0,2011,6,4
2011-06-05,78,Manvel Croix Park C84,12,2011,6,5
2011-06-06,112,Galveston 99th St. C1034/A320/X183,12,2011,6,6
2011-06-07,96,UH WG Jones Forest C698,10,2011,6,7
2011-06-08,64,Conroe Relocated C78/A321,2,2011,6,8
2011-06-09,67,UH WG Jones Forest C698,2,2011,6,9
2011-06-10,58,Conroe Relocated C78/A321,6,2011,6,10
2011-06-11,74,Mercer Arboretum C557,6,2011,6,11
2011-06-12,69,Northwest Harris Co. C26/A110/X154,2,2011,6,12
2011-06-13,63,Conroe Relocated C78/A321,10,2011,6,13
2011-06-14,43,UH WG Jones Forest C698,0,2011,6,14
2011-06-15,44,UH WG Jones Forest C698,15,2011,6,15
2011-06-16,32,UH WG Jones Forest C698,11,2011,6,16
2011-06-17,31,UH WG Jones Forest C698,3,2011,6,17
2011-06-18,32,UH West Liberty C699,1,2011,6,18
2011-06-19,29,Huffman Wolf Road C563,0,2011,6,19
2011-06-20,33,Conroe Relocated C78/A321,3,2011,6,20
2011-06-21,31,Tom Bass C558,3,2011,6,21
2011-06-22,44,Manvel Croix Park C84,3,2011,6,22
2011-06-23,55,Conroe Relocated C78/A321,11,2011,6,23
2011-06-24,45,UH WG Jones Forest C698,11,2011,6,24
2011-06-25,41,Conroe Relocated C78/A321,7,2011,6,25
2011-06-26,39,Huffman Wolf Road C563,6,2011,6,26
2011-06-27,51,UH WG Jones Forest C698,6,2011,6,27
2011-06-28,59,Northwest Harris Co. C26/A110/X154,9,2011,6,28
2011-06-29,68,Northwest Harris Co. C26/A110/X154,9,2011,6,29
2011-06-30,74,Northwest Harris Co. C26/A110/X154,5,2011,6,30
2011-07-01,61,UH WG Jones Forest C698,5,2011,7,1
2011-07-02,60,Baytown Wetlands Center C552,5,2011,7,2
2011-07-03,57,Wallisville Road C617,9,2011,7,3
2011-07-04,62,UH West Liberty C699,5,2011,7,4
2011-07-05,86,Atascocita C560,10,2011,7,5
2011-07-06,63,Bunker Hill Village C562,9,2011,7,6
2011-07-07,62,UH West Liberty C699,14,2011,7,7
2011-07-08,57,UH West Liberty C699,11,2011,7,8
2011-07-09,50,UH WG Jones Forest C698,6,2011,7,9
2011-07-10,44,UH WG Jones Forest C698,1,2011,7,10
2011-07-11,65,UH WG Jones Forest C698,4,2011,7,11
2011-07-12,40,UH West Liberty C699,4,2011,7,12
2011-07-13,49,UH West Liberty C699,4,2011,7,13
2011-07-14,47,UH West Liberty C699,1,2011,7,14
2011-07-15,31,Huffman Wolf Road C563,6,2011,7,15
2011-07-16,40,Atascocita C560,6,2011,7,16
2011-07-17,55,UH WG Jones Forest C698,5,2011,7,17
2011-07-18,52,Wallisville Road C617,8,2011,7,18
2011-07-19,41,Wallisville Road C617,12,2011,7,19
2011-07-20,47,UH WG Jones Forest C698,9,2011,7,20
2011-07-21,52,UH WG Jones Forest C698,4,2011,7,21
2011-07-22,35,UH WG Jones Forest C698,0,2011,7,22
2011-07-23,41,UH WG Jones Forest C698,0,2011,7,23
2011-07-24,39,UH West Liberty C699,12,2011,7,24
2011-07-25,43,UH West Liberty C699,12,2011,7,25
2011-07-26,51,Atascocita C560,13,2011,7,26
2011-07-27,45,UH WG Jones Forest C698,6,2011,7,27
2011-07-28,46,UH WG Jones Forest C698,5,2011,7,28
2011-07-29,32,Northwest Harris Co. C26/A110/X154,4,2011,7,29
2011-07-30,52,UH WG Jones Forest C698,8,2011,7,30
2011-07-31,70,Houston East C1/G316,8,2011,7,31
2011-08-01,77,UH WG Jones Forest C698,12,2011,8,1
2011-08-02,73,UH WG Jones Forest C698,12,2011,8,2
2011-08-03,60,UH WG Jones Forest C698,13,2011,8,3
2011-08-04,56,UH WG Jones Forest C698,9,2011,8,4
2011-08-05,51,UH WG Jones Forest C698,8,2011,8,5
2011-08-06,52,UH WG Jones Forest C698,8,2011,8,6
2011-08-07,36,Mercer Arboretum C557,8,2011,8,7
2011-08-08,39,Mercer Arboretum C557,15,2011,8,8
2011-08-09,36,Mercer Arboretum C557,15,2011,8,9
2011-08-10,45,UH WG Jones Forest C698,11,2011,8,10
2011-08-11,48,UH WG Jones Forest C698,11,2011,8,11
2011-08-12,49,Conroe Relocated C78/A321,15,2011,8,12
2011-08-13,37,UH West Liberty C699,15,2011,8,13
2011-08-14,49,Wallisville Road C617,14,2011,8,14
2011-08-15,60,Conroe Relocated C78/A321,15,2011,8,15
2011-08-16,64,UH WG Jones Forest C698,15,2011,8,16
2011-08-17,73,UH WG Jones Forest C698,12,2011,8,17
2011-08-18,75,UH WG Jones Forest C698,12,2011,8,18
2011-08-19,89,Wallisville Road C617,13,2011,8,19
2011-08-20,71,Northwest Harris Co. C26/A110/X154,10,2011,8,20
2011-08-21,53,UH WG Jones Forest C698,9,2011,8,21
2011-08-22,81,UH WG Jones Forest C698,12,2011,8,22
2011-08-23,74,UH WG Jones Forest C698,13,2011,8,23
2011-08-24,77,Mercer Arboretum C557,14,2011,8,24
2011-08-25,73,UH WG Jones Forest C698,10,2011,8,25
2011-08-26,100,Houston Aldine C8/AF108/X150,14,2011,8,26
2011-08-27,88,Manvel Croix Park C84,13,2011,8,27
2011-08-28,101,Houston Croquet C409,14,2011,8,28
2011-08-29,102,Bunker Hill Village C562,11,2011,8,29
2011-08-30,100,Northwest Harris Co. C26/A110/X154,11,2011,8,30
2011-08-31,83,Northwest Harris Co. C26/A110/X154,6,2011,8,31
2011-09-01,58,Houston Croquet C409,5,2011,9,1
2011-09-02,48,Manvel Croix Park C84,5,2011,9,2
2011-09-03,47,Danciger C618,6,2011,9,3
2011-09-04,47,Northwest Harris Co. C26/A110/X154,7,2011,9,4
2011-09-05,63,Manvel Croix Park C84,7,2011,9,5
2011-09-06,89,Manvel Croix Park C84,7,2011,9,6
2011-09-07,80,Manvel Croix Park C84,11,2011,9,7
2011-09-08,108,Manvel Croix Park C84,14,2011,9,8
2011-09-09,91,Wallisville Road C617,11,2011,9,9
2011-09-10,84,Wallisville Road C617,7,2011,9,10
2011-09-11,83,Wallisville Road C617,15,2011,9,11
2011-09-12,82,Wallisville Road C617,12,2011,9,12
2011-09-13,70,UH WG Jones Forest C698,12,2011,9,13
2011-09-14,80,UH WG Jones Forest C698,13,2011,9,14
2011-09-15,85,Houston Aldine C8/AF108/X150,11,2011,9,15
2011-09-16,78,UH WG Jones Forest C698,1,2011,9,16
2011-09-17,56,Wallisville Road C617,0,2011,9,17
2011-09-18,41,Conroe Relocated C78/A321,0,2011,9,18
2011-09-19,77,UH West Liberty C699,15,2011,9,19
2011-09-20,82,UH Moody Tower C695,15,2011,9,20
2011-09-21,84,Manvel Croix Park C84,11,2011,9,21
2011-09-22,85,Manvel Croix Park C84,15,2011,9,22
2011-09-23,93,Mustang Bayou C619,15,2011,9,23
2011-09-24,92,Wallisville Road C617,15,2011,9,24
2011-09-25,55,UH West Liberty C699,11,2011,9,25
2011-09-26,52,UH WG Jones Forest C698,7,2011,9,26
2011-09-27,43,Mercer Arboretum C557,11,2011,9,27
2011-09-28,49,UH West Liberty C699,11,2011,9,28
2011-09-29,64,Crosby Library C553,11,2011,9,29
2011-09-30,78,Danciger C618,11,2011,9,30
2012-06-01,114,UH Moody Tower C695,7,2012,6,1
2012-06-02,62,Huffman Wolf Road C563,7,2012,6,2
2012-06-03,42,UH WG Jones Forest C698,7,2012,6,3
2012-06-04,54,UH WG Jones Forest C698,6,2012,6,4
2012-06-05,79,UH Moody Tower C695,7,2012,6,5
2012-06-06,75,Northwest Harris Co. C26/A110/X154,7,2012,6,6
2012-06-07,85,Houston Monroe C406,3,2012,6,7
2012-06-08,67,Texas City 34th St. C620,7,2012,6,8
2012-06-09,76,Houston Croquet C409,7,2012,6,9
2012-06-10,53,Huffman Wolf Road C563,3,2012,6,10
2012-06-11,40,Conroe Relocated C78/A321,2,2012,6,11
2012-06-12,38,Conroe Relocated C78/A321,12,2012,6,12
2012-06-13,50,Conroe Relocated C78/A321,13,2012,6,13
2012-06-14,47,UH WG Jones Forest C698,2,2012,6,14
2012-06-15,47,Conroe Relocated C78/A321,1,2012,6,15
2012-06-16,60,Mustang Bayou C619,1,2012,6,16
2012-06-17,74,UH Moody Tower C695,5,2012,6,17
2012-06-18,54,Northwest Harris Co. C26/A110/X154,7,2012,6,18
2012-06-19,36,Texas City 34th St. C620,3,2012,6,19
2012-06-20,46,UH Moody Tower C695,3,2012,6,20
2012-06-21,66,U of H-Sugarland C696,2,2012,6,21
2012-06-22,68,Manvel Croix Park C84,11,2012,6,22
2012-06-23,67,Manvel Croix Park C84,7,2012,6,23
2012-06-24,71,Manvel Croix Park C84,6,2012,6,24
2012-06-25,94,Manvel Croix Park C84,14,2012,6,25
2012-06-26,136,Manvel Croix Park C84,11,2012,6,26
2012-06-27,106,Mercer Arboretum C557,11,2012,6,27
2012-06-28,75,UH WG Jones Forest C698,8,2012,6,28
2012-06-29,64,UH WG Jones Forest C698,12,2012,6,29
2012-06-30,35,UH Moody Tower C695,9,2012,6,30
2012-07-01,30,UH WG Jones Forest C698,1,2012,7,1
2012-07-02,49,UH WG Jones Forest C698,1,2012,7,2
2012-07-03,45,UH WG Jones Forest C698,0,2012,7,3
2012-07-04,36,Huffman Wolf Road C563,1,2012,7,4
2012-07-05,49,Conroe Relocated C78/A321,0,2012,7,5
2012-07-06,58,Huffman Wolf Road C563,4,2012,7,6
2012-07-07,46,Houston Aldine C8/AF108/X150,8,2012,7,7
2012-07-08,32,Huffman Wolf Road C563,8,2012,7,8
2012-07-09,30,Huffman Wolf Road C563,13,2012,7,9
2012-07-10,34,Conroe Relocated C78/A321,14,2012,7,10
2012-07-11,28,Texas City 34th St. C620,10,2012,7,11
2012-07-12,30,Huffman Wolf Road C563,10,2012,7,12
2012-07-13,45,La Porte Sylvan Beach C556,9,2012,7,13
2012-07-14,49,Houston Aldine C8/AF108/X150,13,2012,7,14
2012-07-15,44,Huffman Wolf Road C563,13,2012,7,15
2012-07-16,48,UH WG Jones Forest C698,4,2012,7,16
2012-07-17,43,Conroe Relocated C78/A321,0,2012,7,17
2012-07-18,56,UH WG Jones Forest C698,5,2012,7,18
2012-07-19,41,Huffman Wolf Road C563,8,2012,7,19
2012-07-20,55,Baytown Wetlands Center C552,12,2012,7,20
2012-07-21,48,Wallisville Road C617,12,2012,7,21
2012-07-22,41,Huffman Wolf Road C563,12,2012,7,22
2012-07-23,44,UH WG Jones Forest C698,12,2012,7,23
2012-07-24,45,UH WG Jones Forest C698,12,2012,7,24
2012-07-25,36,Huffman Wolf Road C563,12,2012,7,25
2012-07-26,32,Huffman Wolf Road C563,0,2012,7,26
2012-07-27,42,Conroe Relocated C78/A321,15,2012,7,27
2012-07-28,59,Houston East C1/G316,12,2012,7,28
2012-07-29,58,Huffman Wolf Road C563,12,2012,7,29
2012-07-30,46,Wallisville Road C617,12,2012,7,30
2012-07-31,42,Mercer Arboretum C557,12,2012,7,31
2012-08-01,55,Huffman Wolf Road C563,12,2012,8,1
2012-08-02,48,Conroe Relocated C78/A321,12,2012,8,2
2012-08-03,48,Conroe Relocated C78/A321,14,2012,8,3
2012-08-04,47,UH WG Jones Forest C698,5,2012,8,4
2012-08-05,39,Texas City 34th St. C620,8,2012,8,5
2012-08-06,81,Clear Lake High School C572,12,2012,8,6
2012-08-07,89,HRM-3 Haden Road C603/A114,12,2012,8,7
2012-08-08,66,Mercer Arboretum C557,13,2012,8,8
2012-08-09,54,Huffman Wolf Road C563,13,2012,8,9
2012-08-10,52,Huffman Wolf Road C563,15,2012,8,10
2012-08-11,48,Houston East C1/G316,15,2012,8,11
2012-08-12,41,Huffman Wolf Road C563,15,2012,8,12
2012-08-13,46,Huffman Wolf Road C563,14,2012,8,13
2012-08-14,49,Huffman Wolf Road C563,13,2012,8,14
2012-08-15,35,Conroe Relocated C78/A321,15,2012,8,15
2012-08-16,43,Conroe Relocated C78/A321,1,2012,8,16
2012-08-17,46,Huffman Wolf Road C563,13,2012,8,17
2012-08-18,28,Huffman Wolf Road C563,15,2012,8,18
2012-08-19,57,Clear Brook High School C570,7,2012,8,19
2012-08-20,97,Clear Lake High School C572,11,2012,8,20
2012-08-21,80,Manvel Croix Park C84,11,2012,8,21
2012-08-22,68,Houston Bayland Park C53/A146,15,2012,8,22
2012-08-23,50,Katy Park C559,14,2012,8,23
2012-08-24,38,UH WG Jones Forest C698,0,2012,8,24
2012-08-25,29,Conroe Relocated C78/A321,2,2012,8,25
2012-08-26,50,UH WG Jones Forest C698,2,2012,8,26
2012-08-27,74,Manvel Croix Park C84,10,2012,8,27
2012-08-28,71,Lake Jackson C1016,14,2012,8,28
2012-08-29,56,Manvel Croix Park C84,11,2012,8,29
2012-08-30,62,Seabrook Friendship Park C45,7,2012,8,30
2012-08-31,47,Conroe Relocated C78/A321,6,2012,8,31
2012-09-01,27,Conroe Relocated C78/A321,8,2012,9,1
2012-09-02,36,Huffman Wolf Road C563,12,2012,9,2
2012-09-03,40,Huffman Wolf Road C563,12,2012,9,3
2012-09-04,49,Huffman Wolf Road C563,12,2012,9,4
2012-09-05,45,Huffman Wolf Road C563,14,2012,9,5
2012-09-06,55,Wallisville Road C617,15,2012,9,6
2012-09-07,59,Conroe Relocated C78/A321,14,2012,9,7
2012-09-08,56,Danciger C618,11,2012,9,8
2012-09-09,67,Danciger C618,15,2012,9,9
2012-09-10,77,Houston Croquet C409,14,2012,9,10
2012-09-11,80,Northwest Harris Co. C26/A110/X154,13,2012,9,11
2012-09-12,48,Conroe Relocated C78/A321,0,2012,9,12
2012-09-13,28,Conroe Relocated C78/A321,0,2012,9,13
2012-09-14,40,Seabrook Friendship Park C45,13,2012,9,14
2012-09-15,61,Manvel Croix Park C84,13,2012,9,15
2012-09-16,65,Houston East C1/G316,14,2012,9,16
2012-09-17,57,Galveston 99th St. C1034/A320/X183,11,2012,9,17
2012-09-18,59,Manvel Croix Park C84,7,2012,9,18
2012-09-19,71,Manvel Croix Park C84,11,2012,9,19
2012-09-20,87,Manvel Croix Park C84,15,2012,9,20
2012-09-21,81,Northwest Harris Co. C26/A110/X154,11,2012,9,21
2012-09-22,82,UH Moody Tower C695,11,2012,9,22
2012-09-23,81,West Houston C554,13,2012,9,23
2012-09-24,84,Conroe Relocated C78/A321,12,2012,9,24
2012-09-25,64,Conroe Relocated C78/A321,0,2012,9,25
2012-09-26,68,Conroe Relocated C78/A321,2,2012,9,26
2012-09-27,68,Northwest Harris Co. C26/A110/X154,1,2012,9,27
2012-09-28,36,UH Moody Tower C695,1,2012,9,28
2012-09-29,29,Monitoring_Site,2,2012,9,29
2012-09-30,43,Manvel Croix Park C84,7,2012,9,30
2013-06-01,33,Conroe Relocated C78/A321,3,2013,6,1
2013-06-02,45,Texas City 34th St. C620,7,2013,6,2
2013-06-03,86,Manvel Croix Park C84,7,2013,6,3
2013-06-04,86,Meyer Park C561,7,2013,6,4
2013-06-05,60,West Houston C554,7,2013,6,5
2013-06-06,57,Huffman Wolf Road C563,7,2013,6,6
2013-06-07,69,Manvel Croix Park C84,7,2013,6,7
2013-06-08,69,Conroe Relocated C78/A321,7,2013,6,8
2013-06-09,30,Park Place C416,3,2013,6,9
2013-06-10,71,UH WG Jones Forest C698,11,2013,6,10
2013-06-11,31,Huffman Wolf Road C563,15,2013,6,11
2013-06-12,43,Conroe Relocated C78/A321,4,2013,6,12
2013-06-13,57,Huffman Wolf Road C563,12,2013,6,13
2013-06-14,81,Mercer Arboretum C557,9,2013,6,14
2013-06-15,52,Huffman Wolf Road C563,1,2013,6,15
2013-06-16,30,Huffman Wolf Road C563,0,2013,6,16
2013-06-17,38,Huffman Wolf Road C563,13,2013,6,17
2013-06-18,39,Crosby Library C553,15,2013,6,18
2013-06-19,43,UH WG Jones Forest C698,15,2013,6,19
2013-06-20,44,Conroe Relocated C78/A321,1,2013,6,20
2013-06-21,51,Conroe Relocated C78/A321,0,2013,6,21
2013-06-22,47,Conroe Relocated C78/A321,0,2013,6,22
2013-06-23,42,Conroe Relocated C78/A321,0,2013,6,23
2013-06-24,46,Conroe Relocated C78/A321,0,2013,6,24
2013-06-25,41,Conroe Relocated C78/A321,0,2013,6,25
2013-06-26,55,Conroe Relocated C78/A321,8,2013,6,26
2013-06-27,59,Crosby Library C553,12,2013,6,27
2013-06-28,62,Houston East C1/G316,12,2013,6,28
2013-06-29,64,Manvel Croix Park C84,15,2013,6,29
2013-06-30,71,Texas City 34th St. C620,11,2013,6,30
2013-07-01,71,Danciger C618,11,2013,7,1
2013-07-02,84,Manvel Croix Park C84,11,2013,7,2
2013-07-03,88,Lang C408,15,2013,7,3
2013-07-04,86,Manvel Croix Park C84,6,2013,7,4
2013-07-05,82,Houston Bayland Park C53/A146,6,2013,7,5
2013-07-06,64,West Houston C554,2,2013,7,6
2013-07-07,39,UH WG Jones Forest C698,2,2013,7,7
2013-07-08,45,Conroe Relocated C78/A321,4,2013,7,8
2013-07-09,59,Conroe Relocated C78/A321,12,2013,7,9
2013-07-10,55,Conroe Relocated C78/A321,12,2013,7,10
2013-07-11,53,Crosby Library C553,12,2013,7,11
2013-07-12,69,HRM-3 Haden Road C603/A114,14,2013,7,12
2013-07-13,73,Seabrook Friendship Park C45,10,2013,7,13
2013-07-14,49,UH WG Jones Forest C698,14,2013,7,14
2013-07-15,39,UH WG Jones Forest C698,10,2013,7,15
2013-07-16,43,Bunker Hill Village C562,1,2013,7,16
2013-07-17,31,Galveston 99th St. C1034/A320/X183,8,2013,7,17
2013-07-18,63,West Houston C554,12,2013,7,18
2013-07-19,43,West Houston C554,8,2013,7,19
