,date,maximum,site
0,2010-06-01,68.0,Conroe Relocated C78/A321
1,2010-06-02,43.0,Conroe Relocated C78/A321
2,2010-06-03,47.0,Wallisville Road C617
3,2010-06-04,59.0,Seabrook Friendship Park C45
4,2010-06-05,54.0,Conroe Relocated C78/A321
5,2010-06-06,47.0,Houston Aldine C8/AF108/X150
6,2010-06-07,36.0,Northwest Harris Co. C26/A110/X154
7,2010-06-08,39.0,Hou.DeerPrk2 C35/235/1001/AFH139FP239
8,2010-06-09,30.0,Northwest Harris Co. C26/A110/X154
9,2010-06-10,32.0,Conroe Relocated C78/A321
10,2010-06-11,30.0,Conroe Relocated C78/A321
11,2010-06-12,28.0,Conroe Relocated C78/A321
12,2010-06-13,28.0,Conroe Relocated C78/A321
13,2010-06-14,38.0,Conroe Relocated C78/A321
14,2010-06-15,43.0,Conroe Relocated C78/A321
15,2010-06-16,49.0,Conroe Relocated C78/A321
16,2010-06-17,36.0,Conroe Relocated C78/A321
17,2010-06-18,41.0,Conroe Relocated C78/A321
18,2010-06-19,47.0,Conroe Relocated C78/A321
19,2010-06-20,50.0,Houston Aldine C8/AF108/X150
20,2010-06-21,66.0,Conroe Relocated C78/A321
21,2010-06-22,61.0,Houston Aldine C8/AF108/X150
22,2010-06-23,47.0,Northwest Harris Co. C26/A110/X154
23,2010-06-24,60.0,Wallisville Road C617
24,2010-06-25,49.0,Conroe Relocated C78/A321
25,2010-06-26,46.0,Houston Aldine C8/AF108/X150
26,2010-06-27,50.0,Conroe Relocated C78/A321
27,2010-06-28,37.0,Houston Aldine C8/AF108/X150
28,2010-06-29,41.0,Houston Croquet C409
29,2010-06-30,23.0,Northwest Harris Co. C26/A110/X154
0,2010-07-01,19.0,Wallisville Road C617
1,2010-07-02,15.0,Seabrook Friendship Park C45
2,2010-07-03,28.0,Seabrook Friendship Park C45
3,2010-07-04,36.0,Houston Aldine C8/AF108/X150
4,2010-07-05,49.0,Houston Aldine C8/AF108/X150
5,2010-07-06,55.0,Houston Croquet C409
6,2010-07-07,22.0,Seabrook Friendship Park C45
7,2010-07-08,21.0,Wallisville Road C617
8,2010-07-09,66.0,Northwest Harris Co. C26/A110/X154
9,2010-07-10,65.0,Seabrook Friendship Park C45
10,2010-07-11,32.0,Houston Aldine C8/AF108/X150
11,2010-07-12,22.0,Wallisville Road C617
12,2010-07-13,28.0,Conroe Relocated C78/A321
13,2010-07-14,40.0,Conroe Relocated C78/A321
14,2010-07-15,53.0,Wallisville Road C617
15,2010-07-16,92.0,Houston Aldine C8/AF108/X150
16,2010-07-17,68.0,Houston Aldine C8/AF108/X150
17,2010-07-18,42.0,Houston Aldine C8/AF108/X150
18,2010-07-19,24.0,Conroe Relocated C78/A321
19,2010-07-20,35.0,Northwest Harris Co. C26/A110/X154
20,2010-07-21,35.0,Northwest Harris Co. C26/A110/X154
21,2010-07-22,30.0,Northwest Harris Co. C26/A110/X154
22,2010-07-23,34.0,Houston Aldine C8/AF108/X150
23,2010-07-24,77.0,Lang C408
24,2010-07-25,66.0,Manvel Croix Park C84
25,2010-07-26,55.0,Northwest Harris Co. C26/A110/X154
26,2010-07-27,27.0,Conroe Relocated C78/A321
27,2010-07-28,29.0,Conroe Relocated C78/A321
28,2010-07-29,41.0,Conroe Relocated C78/A321
29,2010-07-30,51.0,Wallisville Road C617
30,2010-07-31,58.0,Wallisville Road C617
0,2010-08-01,69.0,Wallisville Road C617
1,2010-08-02,82.0,Houston Aldine C8/AF108/X150
2,2010-08-03,83.0,Houston Aldine C8/AF108/X150
3,2010-08-04,76.0,Wallisville Road C617
4,2010-08-05,54.0,Conroe Relocated C78/A321
5,2010-08-06,44.0,Conroe Relocated C78/A321
6,2010-08-07,45.0,Wallisville Road C617
7,2010-08-08,33.0,Conroe Relocated C78/A321
8,2010-08-09,52.0,Conroe Relocated C78/A321
9,2010-08-10,77.0,Lang C408
10,2010-08-11,93.0,Park Place C416
11,2010-08-12,71.0,Wallisville Road C617
12,2010-08-13,53.0,Wallisville Road C617
13,2010-08-14,31.0,Houston Aldine C8/AF108/X150
14,2010-08-15,48.0,Wallisville Road C617
15,2010-08-16,50.0,Seabrook Friendship Park C45
16,2010-08-17,79.0,Park Place C416
17,2010-08-18,47.0,Houston Aldine C8/AF108/X150
18,2010-08-19,30.0,Wallisville Road C617
19,2010-08-20,26.0,Conroe Relocated C78/A321
20,2010-08-21,36.0,Houston Aldine C8/AF108/X150
21,2010-08-22,50.0,Wallisville Road C617
22,2010-08-23,69.0,Wallisville Road C617
23,2010-08-24,75.0,Manvel Croix Park C84
24,2010-08-25,81.0,Manvel Croix Park C84
25,2010-08-26,74.0,Manvel Croix Park C84
26,2010-08-27,88.0,Manvel Croix Park C84
27,2010-08-28,63.0,Manvel Croix Park C84
28,2010-08-29,54.0,Northwest Harris Co. C26/A110/X154
29,2010-08-30,24.0,Conroe Relocated C78/A321
30,2010-08-31,30.0,Northwest Harris Co. C26/A110/X154
0,2010-09-01,53.0,Northwest Harris Co. C26/A110/X154
1,2010-09-02,57.0,Northwest Harris Co. C26/A110/X154
2,2010-09-03,48.0,Manvel Croix Park C84
3,2010-09-04,68.0,Manvel Croix Park C84
4,2010-09-05,67.0,Northwest Harris Co. C26/A110/X154
5,2010-09-06,25.0,Seabrook Friendship Park C45
6,2010-09-07,20.0,Wallisville Road C617
7,2010-09-08,26.0,Conroe Relocated C78/A321
8,2010-09-09,28.0,Conroe Relocated C78/A321
9,2010-09-10,29.0,Conroe Relocated C78/A321
10,2010-09-11,37.0,Wallisville Road C617
11,2010-09-12,51.0,Seabrook Friendship Park C45
12,2010-09-13,77.0,Houston Croquet C409
13,2010-09-14,87.0,Houston Aldine C8/AF108/X150
14,2010-09-15,94.0,Northwest Harris Co. C26/A110/X154
15,2010-09-16,62.0,Northwest Harris Co. C26/A110/X154
16,2010-09-17,48.0,Northwest Harris Co. C26/A110/X154
17,2010-09-18,41.0,Northwest Harris Co. C26/A110/X154
18,2010-09-19,41.0,Wallisville Road C617
19,2010-09-20,40.0,Manvel Croix Park C84
20,2010-09-21,46.0,Northwest Harris Co. C26/A110/X154
21,2010-09-22,43.0,Northwest Harris Co. C26/A110/X154
22,2010-09-23,37.0,Conroe Relocated C78/A321
23,2010-09-24,43.0,Northwest Harris Co. C26/A110/X154
24,2010-09-25,62.0,Manvel Croix Park C84
25,2010-09-26,52.0,Manvel Croix Park C84
26,2010-09-27,54.0,Manvel Croix Park C84
27,2010-09-28,77.0,Seabrook Friendship Park C45
28,2010-09-29,78.0,Galveston 99th St. C1034/A320/X183
29,2010-09-30,88.0,Manvel Croix Park C84
0,2011-06-01,78.0,Northwest Harris Co. C26/A110/X154
1,2011-06-02,95.0,Galveston 99th St. C1034/A320/X183
2,2011-06-03,79.0,Northwest Harris Co. C26/A110/X154
3,2011-06-04,70.0,Northwest Harris Co. C26/A110/X154
4,2011-06-05,78.0,Manvel Croix Park C84
5,2011-06-06,112.0,Galveston 99th St. C1034/A320/X183
6,2011-06-07,80.0,Northwest Harris Co. C26/A110/X154
7,2011-06-08,64.0,Conroe Relocated C78/A321
8,2011-06-09,64.0,Conroe Relocated C78/A321
9,2011-06-10,58.0,Conroe Relocated C78/A321
10,2011-06-11,60.0,Houston Aldine C8/AF108/X150
11,2011-06-12,69.0,Northwest Harris Co. C26/A110/X154
12,2011-06-13,63.0,Conroe Relocated C78/A321
13,2011-06-14,42.0,Conroe Relocated C78/A321
14,2011-06-15,42.0,Conroe Relocated C78/A321
15,2011-06-16,31.0,Conroe Relocated C78/A321
16,2011-06-17,30.0,Conroe Relocated C78/A321
17,2011-06-18,25.0,Conroe Relocated C78/A321
18,2011-06-19,27.0,Conroe Relocated C78/A321
19,2011-06-20,33.0,Conroe Relocated C78/A321
20,2011-06-21,29.0,Conroe Relocated C78/A321
21,2011-06-22,44.0,Manvel Croix Park C84
22,2011-06-23,55.0,Conroe Relocated C78/A321
23,2011-06-24,40.0,Conroe Relocated C78/A321
24,2011-06-25,41.0,Conroe Relocated C78/A321
25,2011-06-26,36.0,Conroe Relocated C78/A321
26,2011-06-27,46.0,Conroe Relocated C78/A321
27,2011-06-28,59.0,Northwest Harris Co. C26/A110/X154
28,2011-06-29,68.0,Northwest Harris Co. C26/A110/X154
29,2011-06-30,74.0,Northwest Harris Co. C26/A110/X154
0,2011-07-01,51.0,Conroe Relocated C78/A321
1,2011-07-02,58.0,Wallisville Road C617
2,2011-07-03,57.0,Wallisville Road C617
3,2011-07-04,59.0,Wallisville Road C617
4,2011-07-05,82.0,Houston Aldine C8/AF108/X150
5,2011-07-06,61.0,Houston Bayland Park C53/A146
6,2011-07-07,58.0,Wallisville Road C617
7,2011-07-08,46.0,Houston Aldine C8/AF108/X150
8,2011-07-09,47.0,Conroe Relocated C78/A321
9,2011-07-10,41.0,Conroe Relocated C78/A321
10,2011-07-11,54.0,Northwest Harris Co. C26/A110/X154
11,2011-07-12,37.0,Conroe Relocated C78/A321
12,2011-07-13,42.0,Conroe Relocated C78/A321
13,2011-07-14,36.0,Conroe Relocated C78/A321
14,2011-07-15,27.0,Conroe Relocated C78/A321
15,2011-07-16,39.0,Wallisville Road C617
16,2011-07-17,49.0,Conroe Relocated C78/A321
17,2011-07-18,52.0,Wallisville Road C617
18,2011-07-19,41.0,Wallisville Road C617
19,2011-07-20,45.0,Conroe Relocated C78/A321
20,2011-07-21,48.0,Conroe Relocated C78/A321
21,2011-07-22,33.0,Conroe Relocated C78/A321
22,2011-07-23,37.0,Conroe Relocated C78/A321
23,2011-07-24,35.0,Houston Aldine C8/AF108/X150
24,2011-07-25,42.0,Wallisville Road C617
25,2011-07-26,45.0,Houston Aldine C8/AF108/X150
26,2011-07-27,41.0,Conroe Relocated C78/A321
27,2011-07-28,40.0,Northwest Harris Co. C26/A110/X154
28,2011-07-29,32.0,Northwest Harris Co. C26/A110/X154
29,2011-07-30,45.0,Northwest Harris Co. C26/A110/X154
30,2011-07-31,70.0,Houston East C1/G316
0,2011-08-01,76.0,Wallisville Road C617
1,2011-08-02,64.0,Northwest Harris Co. C26/A110/X154
2,2011-08-03,56.0,Conroe Relocated C78/A321
3,2011-08-04,51.0,Conroe Relocated C78/A321
4,2011-08-05,48.0,Conroe Relocated C78/A321
5,2011-08-06,49.0,Conroe Relocated C78/A321
6,2011-08-07,33.0,Conroe Relocated C78/A321
7,2011-08-08,36.0,Conroe Relocated C78/A321
8,2011-08-09,34.0,Conroe Relocated C78/A321
9,2011-08-10,44.0,Conroe Relocated C78/A321
10,2011-08-11,45.0,Conroe Relocated C78/A321
11,2011-08-12,49.0,Conroe Relocated C78/A321
12,2011-08-13,34.0,Conroe Relocated C78/A321
13,2011-08-14,49.0,Wallisville Road C617
14,2011-08-15,60.0,Conroe Relocated C78/A321
15,2011-08-16,63.0,Conroe Relocated C78/A321
16,2011-08-17,72.0,Conroe Relocated C78/A321
17,2011-08-18,72.0,Wallisville Road C617
18,2011-08-19,89.0,Wallisville Road C617
19,2011-08-20,71.0,Northwest Harris Co. C26/A110/X154
20,2011-08-21,48.0,Houston East C1/G316
21,2011-08-22,66.0,Conroe Relocated C78/A321
22,2011-08-23,66.0,Conroe Relocated C78/A321
23,2011-08-24,63.0,Houston Aldine C8/AF108/X150
24,2011-08-25,63.0,Wallisville Road C617
25,2011-08-26,100.0,Houston Aldine C8/AF108/X150
26,2011-08-27,88.0,Manvel Croix Park C84
27,2011-08-28,101.0,Houston Croquet C409
28,2011-08-29,99.0,Houston Bayland Park C53/A146
29,2011-08-30,100.0,Northwest Harris Co. C26/A110/X154
30,2011-08-31,83.0,Northwest Harris Co. C26/A110/X154
0,2011-09-01,58.0,Houston Croquet C409
1,2011-09-02,48.0,Manvel Croix Park C84
2,2011-09-03,43.0,Lake Jackson C1016
3,2011-09-04,47.0,Northwest Harris Co. C26/A110/X154
4,2011-09-05,63.0,Manvel Croix Park C84
5,2011-09-06,89.0,Manvel Croix Park C84
6,2011-09-07,80.0,Manvel Croix Park C84
7,2011-09-08,108.0,Manvel Croix Park C84
8,2011-09-09,91.0,Wallisville Road C617
9,2011-09-10,84.0,Wallisville Road C617
10,2011-09-11,83.0,Wallisville Road C617
11,2011-09-12,82.0,Wallisville Road C617
12,2011-09-13,63.0,Northwest Harris Co. C26/A110/X154
13,2011-09-14,71.0,Conroe Relocated C78/A321
14,2011-09-15,85.0,Houston Aldine C8/AF108/X150
15,2011-09-16,70.0,Northwest Harris Co. C26/A110/X154
16,2011-09-17,56.0,Wallisville Road C617
17,2011-09-18,41.0,Conroe Relocated C78/A321
18,2011-09-19,72.0,Wallisville Road C617
19,2011-09-20,80.0,HRM-3 Haden Road C603/A114
20,2011-09-21,84.0,Manvel Croix Park C84
21,2011-09-22,85.0,Manvel Croix Park C84
22,2011-09-23,78.0,Manvel Croix Park C84
23,2011-09-24,92.0,Wallisville Road C617
24,2011-09-25,53.0,Galveston 99th St. C1034/A320/X183
25,2011-09-26,44.0,Houston Aldine C8/AF108/X150
26,2011-09-27,40.0,Houston Aldine C8/AF108/X150
27,2011-09-28,45.0,Houston East C1/G316
28,2011-09-29,51.0,Wallisville Road C617
29,2011-09-30,75.0,Manvel Croix Park C84
0,2012-06-01,104.0,Houston Bayland Park C53/A146
1,2012-06-02,60.0,Galveston 99th St. C1034/A320/X183
2,2012-06-03,41.0,Conroe Relocated C78/A321
3,2012-06-04,51.0,Conroe Relocated C78/A321
4,2012-06-05,69.0,Lang C408
5,2012-06-06,75.0,Northwest Harris Co. C26/A110/X154
6,2012-06-07,85.0,Houston Monroe C406
7,2012-06-08,63.0,Houston Westhollow C410/C3003
8,2012-06-09,76.0,Houston Croquet C409
9,2012-06-10,51.0,Conroe Relocated C78/A321
10,2012-06-11,40.0,Conroe Relocated C78/A321
11,2012-06-12,38.0,Conroe Relocated C78/A321
12,2012-06-13,50.0,Conroe Relocated C78/A321
13,2012-06-14,46.0,Conroe Relocated C78/A321
14,2012-06-15,47.0,Conroe Relocated C78/A321
15,2012-06-16,48.0,Seabrook Friendship Park C45
16,2012-06-17,68.0,Houston Westhollow C410/C3003
17,2012-06-18,54.0,Northwest Harris Co. C26/A110/X154
18,2012-06-19,33.0,Seabrook Friendship Park C45
19,2012-06-20,40.0,Houston Aldine C8/AF108/X150
20,2012-06-21,64.0,Manvel Croix Park C84
21,2012-06-22,68.0,Manvel Croix Park C84
22,2012-06-23,67.0,Manvel Croix Park C84
23,2012-06-24,71.0,Manvel Croix Park C84
24,2012-06-25,94.0,Manvel Croix Park C84
25,2012-06-26,136.0,Manvel Croix Park C84
26,2012-06-27,99.0,Northwest Harris Co. C26/A110/X154
27,2012-06-28,70.0,Conroe Relocated C78/A321
28,2012-06-29,56.0,Conroe Relocated C78/A321
29,2012-06-30,31.0,Manvel Croix Park C84
0,2012-07-01,29.0,Conroe Relocated C78/A321
1,2012-07-02,46.0,Conroe Relocated C78/A321
2,2012-07-03,36.0,Conroe Relocated C78/A321
3,2012-07-04,33.0,Conroe Relocated C78/A321
4,2012-07-05,49.0,Conroe Relocated C78/A321
5,2012-07-06,51.0,Wallisville Road C617
6,2012-07-07,46.0,Houston Aldine C8/AF108/X150
7,2012-07-08,30.0,Conroe Relocated C78/A321
8,2012-07-09,28.0,Conroe Relocated C78/A321
9,2012-07-10,34.0,Conroe Relocated C78/A321
10,2012-07-11,25.0,Galveston 99th St. C1034/A320/X183
11,2012-07-12,27.0,Wallisville Road C617
12,2012-07-13,40.0,Seabrook Friendship Park C45
13,2012-07-14,49.0,Houston Aldine C8/AF108/X150
14,2012-07-15,40.0,Houston Aldine C8/AF108/X150
15,2012-07-16,45.0,Conroe Relocated C78/A321
16,2012-07-17,43.0,Conroe Relocated C78/A321
17,2012-07-18,50.0,Conroe Relocated C78/A321
18,2012-07-19,33.0,Wallisville Road C617
19,2012-07-20,51.0,Wallisville Road C617
20,2012-07-21,48.0,Wallisville Road C617
21,2012-07-22,37.0,Wallisville Road C617
22,2012-07-23,37.0,Conroe Relocated C78/A321
23,2012-07-24,40.0,Conroe Relocated C78/A321
24,2012-07-25,32.0,Conroe Relocated C78/A321
25,2012-07-26,28.0,Conroe Relocated C78/A321
26,2012-07-27,42.0,Conroe Relocated C78/A321
27,2012-07-28,59.0,Houston East C1/G316
28,2012-07-29,51.0,Wallisville Road C617
29,2012-07-30,46.0,Wallisville Road C617
30,2012-07-31,42.0,Wallisville Road C617
0,2012-08-01,50.0,Houston Aldine C8/AF108/X150
1,2012-08-02,48.0,Conroe Relocated C78/A321
2,2012-08-03,48.0,Conroe Relocated C78/A321
3,2012-08-04,43.0,Conroe Relocated C78/A321
4,2012-08-05,35.0,Northwest Harris Co. C26/A110/X154
5,2012-08-06,81.0,Galveston 99th St. C1034/A320/X183
6,2012-08-07,89.0,HRM-3 Haden Road C603/A114
7,2012-08-08,59.0,Channelview C15/AH115
8,2012-08-09,45.0,Wallisville Road C617
9,2012-08-10,43.0,Wallisville Road C617
10,2012-08-11,48.0,Houston East C1/G316
11,2012-08-12,39.0,Conroe Relocated C78/A321
12,2012-08-13,41.0,Wallisville Road C617
13,2012-08-14,37.0,Houston Aldine C8/AF108/X150
14,2012-08-15,35.0,Conroe Relocated C78/A321
15,2012-08-16,43.0,Conroe Relocated C78/A321
16,2012-08-17,40.0,Wallisville Road C617
17,2012-08-18,27.0,Wallisville Road C617
18,2012-08-19,53.0,Hou.DeerPrk2 C35/235/1001/AFH139FP239
19,2012-08-20,89.0,Seabrook Friendship Park C45
20,2012-08-21,80.0,Manvel Croix Park C84
21,2012-08-22,68.0,Houston Bayland Park C53/A146
22,2012-08-23,46.0,Houston Westhollow C410/C3003
23,2012-08-24,37.0,Conroe Relocated C78/A321
24,2012-08-25,29.0,Conroe Relocated C78/A321
25,2012-08-26,44.0,Houston Aldine C8/AF108/X150
26,2012-08-27,74.0,Manvel Croix Park C84
27,2012-08-28,71.0,Lake Jackson C1016
28,2012-08-29,56.0,Manvel Croix Park C84
29,2012-08-30,62.0,Seabrook Friendship Park C45
30,2012-08-31,47.0,Conroe Relocated C78/A321
0,2012-09-01,27.0,Conroe Relocated C78/A321
1,2012-09-02,30.0,Houston Aldine C8/AF108/X150
2,2012-09-03,33.0,Conroe Relocated C78/A321
3,2012-09-04,38.0,Houston Aldine C8/AF108/X150
4,2012-09-05,40.0,Conroe Relocated C78/A321
5,2012-09-06,55.0,Wallisville Road C617
6,2012-09-07,59.0,Conroe Relocated C78/A321
7,2012-09-08,55.0,Manvel Croix Park C84
8,2012-09-09,63.0,Manvel Croix Park C84
9,2012-09-10,77.0,Houston Croquet C409
10,2012-09-11,80.0,Northwest Harris Co. C26/A110/X154
11,2012-09-12,48.0,Conroe Relocated C78/A321
12,2012-09-13,28.0,Conroe Relocated C78/A321
13,2012-09-14,40.0,Seabrook Friendship Park C45
14,2012-09-15,61.0,Manvel Croix Park C84
15,2012-09-16,65.0,Houston East C1/G316
16,2012-09-17,57.0,Galveston 99th St. C1034/A320/X183
17,2012-09-18,59.0,Manvel Croix Park C84
18,2012-09-19,71.0,Manvel Croix Park C84
19,2012-09-20,87.0,Manvel Croix Park C84
20,2012-09-21,81.0,Northwest Harris Co. C26/A110/X154
21,2012-09-22,78.0,Houston Westhollow C410/C3003
22,2012-09-23,79.0,Lang C408
23,2012-09-24,84.0,Conroe Relocated C78/A321
24,2012-09-25,64.0,Conroe Relocated C78/A321
25,2012-09-26,68.0,Conroe Relocated C78/A321
26,2012-09-27,68.0,Northwest Harris Co. C26/A110/X154
27,2012-09-28,32.0,Lang C408
28,2012-09-29,21.0,Galveston 99th St. C1034/A320/X183
29,2012-09-30,43.0,Manvel Croix Park C84
0,2013-06-01,33.0,Conroe Relocated C78/A321
1,2013-06-02,45.0,Galveston 99th St. C1034/A320/X183
2,2013-06-03,86.0,Manvel Croix Park C84
3,2013-06-04,81.0,Houston Aldine C8/AF108/X150
4,2013-06-05,58.0,Lang C408
5,2013-06-06,43.0,Lang C408
6,2013-06-07,69.0,Manvel Croix Park C84
7,2013-06-08,69.0,Conroe Relocated C78/A321
8,2013-06-09,30.0,Park Place C416
9,2013-06-10,64.0,Conroe Relocated C78/A321
10,2013-06-11,28.0,Conroe Relocated C78/A321
11,2013-06-12,43.0,Conroe Relocated C78/A321
12,2013-06-13,51.0,Wallisville Road C617
13,2013-06-14,64.0,Houston Aldine C8/AF108/X150
14,2013-06-15,50.0,Conroe Relocated C78/A321
15,2013-06-16,28.0,Conroe Relocated C78/A321
16,2013-06-17,37.0,Conroe Relocated C78/A321
17,2013-06-18,38.0,Wallisville Road C617
18,2013-06-19,42.0,Conroe Relocated C78/A321
19,2013-06-20,44.0,Conroe Relocated C78/A321
20,2013-06-21,51.0,Conroe Relocated C78/A321
21,2013-06-22,47.0,Conroe Relocated C78/A321
22,2013-06-23,42.0,Conroe Relocated C78/A321
23,2013-06-24,46.0,Conroe Relocated C78/A321
24,2013-06-25,41.0,Conroe Relocated C78/A321
25,2013-06-26,55.0,Conroe Relocated C78/A321
26,2013-06-27,52.0,Houston Aldine C8/AF108/X150
27,2013-06-28,62.0,Houston East C1/G316
28,2013-06-29,64.0,Manvel Croix Park C84
29,2013-06-30,67.0,Manvel Croix Park C84
0,2013-07-01,71.0,Lake Jackson C1016
1,2013-07-02,84.0,Manvel Croix Park C84
2,2013-07-03,88.0,Lang C408
3,2013-07-04,86.0,Manvel Croix Park C84
4,2013-07-05,82.0,Houston Bayland Park C53/A146
5,2013-07-06,59.0,Lang C408
6,2013-07-07,38.0,Conroe Relocated C78/A321
7,2013-07-08,45.0,Conroe Relocated C78/A321
8,2013-07-09,59.0,Conroe Relocated C78/A321
9,2013-07-10,55.0,Conroe Relocated C78/A321
10,2013-07-11,50.0,Houston Aldine C8/AF108/X150
11,2013-07-12,69.0,HRM-3 Haden Road C603/A114
12,2013-07-13,73.0,Seabrook Friendship Park C45
13,2013-07-14,48.0,Conroe Relocated C78/A321
14,2013-07-15,36.0,Wallisville Road C617
15,2013-07-16,37.0,Lang C408
16,2013-07-17,31.0,Galveston 99th St. C1034/A320/X183
